,1,2,3,4,5
Lasso,0.03215283554120182,0.17831586202403715,0.33939054225460524,0.47708227623350313,0.5709229405230731
Br,0.03199090200684284,0.09459963218859997,0.1394173193507269,0.1723913845434019,0.21778979704245624
Locop,0.03453086419753086,0.33124382716049383,0.42489274691358025,0.515204475308642,0.5500694444444445
Std Lasso,0.018470538441012582,0.07058774472030531,0.10637597579934466,0.09273573719342297,0.10842506782804429
Std Br,0.01847915996932611,0.07745218576782553,0.10135336515736577,0.10397749093502218,0.10743164486085369
Std Locop,0.02026593740791407,0.12417398005010151,0.10330139534696911,0.0909590957287316,0.09970728603454455
